planeta_origen,planeta_destino,distancia,fecha_aproximada
mercury,venus,0.5471660337889869,2024-07-28
mercury,earth,0.867938137259327,2024-02-02
mercury,mars,1.3007159406476065,2024-05-02
mercury,jupiter,4.952474950166582,2023-11-01
mercury,saturn,9.650650164366985,2024-09-29
mercury,uranus,19.563782718948865,2024-09-29
mercury,neptune,29.894785888341165,2024-09-29
venus,earth,0.6674442079676194,2024-01-24
venus,mars,1.1762405007340933,2024-05-02
venus,jupiter,4.917552379773274,2023-10-08
venus,saturn,9.631236046242721,2024-09-29
venus,uranus,19.554213189435288,2024-09-29
venus,neptune,29.888524269607124,2024-09-29
earth,mars,0.9419508503131867,2024-05-17
earth,jupiter,4.868882941546037,2023-10-08
earth,saturn,9.606520487767213,2024-09-29
earth,uranus,19.542051620148747,2024-09-29
earth,neptune,29.88056912861399,2024-09-29
mars,jupiter,4.710286598902901,2023-10-08
mars,saturn,9.541262293516272,2024-09-29
mars,uranus,19.510054630511185,2024-09-29
mars,neptune,29.8596527409322,2024-09-29
jupiter,saturn,8.231382807437827,2024-09-29
jupiter,uranus,18.90402624899826,2024-09-29
jupiter,neptune,29.467250275743574,2024-09-29
saturn,uranus,17.017830226531927,2024-09-29
saturn,neptune,28.268409859378743,2023-10-08
uranus,neptune,22.566400866247243,2023-10-08
